Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801509,SHOPPING ESTACAO CUIABA,A20980004,MASCARA ESPORTIVA,PRETO,P,4,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20980004,MASCARA ESPORTIVA,MESCLA ESCURO,P,5,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20980005,FILTRO MASCARA,BRANCO,UNICO,8,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20980008,MASCARA POWERCOOL,AZUL NOTURNO,M,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20980008,MASCARA POWERCOOL,MENTOL I18,M,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20980008,MASCARA POWERCOOL,CHUMBO V19,P,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20980008,MASCARA POWERCOOL,CHUMBO V19,M,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20980008,MASCARA POWERCOOL,MAGMA V19,M,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21140032,BOLSA BEACH,CONCHAS V21,UNICO,26,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21140032,BOLSA BEACH,TIE DYE V21,UNICO,7,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21140032,BOLSA BEACH,ILHA V21,UNICO,14,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21140042,BOLSA BEACH,PRETO,UNICO,6,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21140043,BOLSA SHOULDER,PRETO,UNICO,4,A21,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A21170115,TENIS ON CLOUD X F,WHITE/BLACK,35,1,A21,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A21170115,TENIS ON CLOUD X F,WHITE/BLACK,36,1,A21,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A21170115,TENIS ON CLOUD X F,WHITE/BLACK,37,1,A21,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A21170115,TENIS ON CLOUD X F,WHITE/BLACK,38,1,A21,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A21170115,TENIS ON CLOUD X F,WHITE/BLACK,39,1,A21,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A21200021,MINI MOCHILA,PRETO,UNICO,1,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21200021,MINI MOCHILA,MANGUE V21,UNICO,4,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21230104,MEIA LIFESTYLE,BARQUINHO V21,33/36,3,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21230104,MEIA LIFESTYLE,BARQUINHO V21,37/40,3,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21230104,MEIA LIFESTYLE,BARQUINHO V21,41/44,2,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21230104,MEIA LIFESTYLE,COQUEIRINHO V21,33/36,3,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21230104,MEIA LIFESTYLE,COQUEIRINHO V21,37/40,3,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21230104,MEIA LIFESTYLE,COQUEIRINHO V21,41/44,2,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21270116,TENIS ON CLOUD X M,BLACK/ASPHALT,42,2,A21,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A21270116,TENIS ON CLOUD X M,BLACK/ASPHALT,43,1,A21,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A21270123,TENIS EFFUSION M T&F,MESCLA CLARO,38,1,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21270123,TENIS EFFUSION M T&F,MESCLA CLARO,39,1,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21270123,TENIS EFFUSION M T&F,MESCLA CLARO,40,2,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21270123,TENIS EFFUSION M T&F,MESCLA CLARO,41,1,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21270123,TENIS EFFUSION M T&F,MESCLA CLARO,42,2,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21270123,TENIS EFFUSION M T&F,MESCLA CLARO,43,1,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21270136,TENIS ESSENTIAL F T&F,CITRUS V21,39,1,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21300031,VISEIRA FRANJAS BEACH,CEU V21,UNICO,4,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21300032,CHAPEU BEACH,AZUL NOTURNO,UNICO,2,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21300033,VISEIRA LARGA BEACH,AREIA V21,UNICO,5,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21830033,NECESSAIRE BEACH,CONCHAS V21,UNICO,11,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21830033,NECESSAIRE BEACH,TIE DYE V21,UNICO,15,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A21830033,NECESSAIRE BEACH,ILHA V21,UNICO,16,A21,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,E20000049,MASCARA DE PROTECAO,HIBISCO V19,M,1,E20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,E20000049,MASCARA DE PROTECAO,BOAT KD V19,M,2,E20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,I19030133,BERM JOGGING KD,MESCLA ESCURO,11/12,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19040641,CAM F UV ML ELEMENTO KD,BRANCO,3/4,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19040641,CAM F UV ML ELEMENTO KD,BRANCO,7/8,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19040641,CAM F UV ML ELEMENTO KD,BRANCO,9/10,2,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19070517,LEG M LOGO BS,PRETO,P,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19070517,LEG M LOGO BS,PRETO,G,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19150119,CALCA F PLUSH KD,MESCLA VINHO I19,11/12,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19150131,CALCA M MELANGE KD,MESCLA ESCURO,7/8,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19150147,CALCA F COTTON KD,MESCLA MEDIO,9/10,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19150147,CALCA F COTTON KD,MESCLA MEDIO,11/12,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19150147,CALCA F COTTON KD,MESCLA MEDIO,13/14,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19170063,BLUSAO F PWR COOL BS,GRANITO,M,2,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19170066,BLUSAO F PWR COOL KD,NOITE I19,9/10,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19170178,BLUSAO F PLUSH KD,MESCLA VINHO I19,5/6,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I19170178,BLUSAO F PLUSH KD,MESCLA VINHO I19,9/10,1,I19,LINHA BASICA
801509,SHOPPING ESTACAO CUIABA,I20020063,CALCAO M RUN,PRETO,GG,3,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20020292,CALCAO F BER ANATOMICO,PRETO,M,1,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20020301,CALCAO F BERM MESH,CHUMBO,G,1,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20020371,CALCAO F ENERGIA,PRETO,M,2,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20020375,CALCAO M SP REFLEXO,REFLEXO I20,M,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20020375,CALCAO M SP REFLEXO,REFLEXO I20,G,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040122,CAM M MC UV,AZUL NOTURNO,M,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040332,CAM F MC TH U,PRETO,G,2,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040516,CAM M MC OUTLAST,BRANCO,M,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040523,CAM F MC OUTLAST,BRANCO,P,1,I20,AUTORIDADE
